UniprotAccession,BRAIN,BROWN_ADIPOSE_TISSUE,CEREBELLUM,CEREBRAL_CORTEX,HEART,KIDNEY,LIVER,LUNG,MUSCLE,PANCREAS,SPLEEN,WHOLE_ORGANISM
P62334,202.0,60.7,248.0,46.3,177.0,99.0,424.0,292.0,54.3,360.0,584.0,145.0
P62340,2.16,,45.5,,,5.69,,2.35,,,41.4,14.3
P62342,9.28,4.97,135.0,,14.3,36.4,40.9,27.3,8.09,6.09,8.23,9.12
P62482,97.1,0.045,119.0,46.7,0.094,,0.004,2.36,25.5,0.039,26.9,23.9
P62484,14.7,0.184,196.0,,,1.13,,1.68,,,,11.0
P62488,4.33,0.785,56.8,,0.267,1.7,0.348,7.23,0.324,0.236,60.0,56.7
P62492,98.5,141.0,39.2,136.0,42.7,39.6,109.0,277.0,53.5,89.5,157.0,86.4
P62500,17.1,0.541,131.0,30.0,2.86,,0.048,13.4,0.574,0.506,1.66,24.7
P62509,,,13.2,,,,,,,,,0.742
P62515,,,,,,,,,,,,0.325
P62627,130.0,4.17,305.0,489.0,165.0,27.1,0.737,65.5,23.5,17.1,20.5,104.0
P62631,1610.0,551.0,818.0,805.0,1960.0,186.0,285.0,574.0,1597.0,1612.0,643.0,1175.0
P62696,,11.4,17.3,76.0,1015.0,,90.3,33.9,43.5,10.5,11.5,12.0
P62700,1.97,,35.8,,,,,8.42,0.925,,,2.64
P62702,824.0,362.0,399.0,64.2,400.0,1920.0,942.0,422.0,163.0,1932.0,781.0,752.0
P62715,492.0,51.6,443.0,33.5,137.0,42.8,52.0,165.0,5.8,16.3,114.0,108.0
P62717,262.0,130.0,214.0,0.54,129.0,139.0,363.0,327.0,39.7,1278.0,829.0,402.0
P62737,1326.0,486.0,445.0,984.0,9179.0,7877.0,448.0,2224.0,2991.0,107.0,1263.0,627.0
P62743,427.0,127.0,543.0,112.0,49.1,164.0,167.0,205.0,9.68,51.7,42.5,69.5
P62746,161.0,24.2,325.0,35.3,83.1,21.9,23.6,99.9,0.555,27.2,45.8,73.1
P62748,99.1,17.6,494.0,56.2,24.5,46.0,24.5,168.0,1.72,101.0,67.6,35.1
P62751,882.0,239.0,546.0,59.7,185.0,1544.0,676.0,352.0,185.0,1531.0,515.0,1396.0
P62754,884.0,106.0,375.0,90.4,119.0,1524.0,1132.0,224.0,96.3,870.0,256.0,1308.0
P62761,764.0,3.05,1546.0,4530.0,0.895,,1.83,214.0,1.38,0.183,0.125,72.7
P62774,341.0,87.2,405.0,637.0,165.0,396.0,130.0,207.0,7.9,93.9,213.0,526.0
P62806,717.0,5.78,3633.0,15829.0,1146.0,11.4,908.0,2.83,567.0,6.39,18.1,1417.0
P62810,,,,,,,,,,,,0.197
P62812,4.6,,84.4,0.151,,,,,,,,3.77
P62814,1401.0,129.0,930.0,1625.0,55.5,,28.7,249.0,41.0,128.0,258.0,195.0
P62816,,,,,,,,,,,,0.207
P62818,,,,,,4.76,,,0.07,,,1.65
P62821,426.0,430.0,189.0,325.0,337.0,543.0,622.0,628.0,49.4,1105.0,709.0,353.0
P62823,79.1,,213.0,75.1,1.42,0.061,0.194,1.08,,4.23,0.08,22.6
P62827,473.0,86.9,564.0,265.0,205.0,752.0,247.0,278.0,85.3,166.0,345.0,526.0
P62830,809.0,135.0,407.0,48.5,314.0,673.0,739.0,286.0,56.9,5258.0,187.0,1208.0
P62835,198.0,157.0,370.0,18.0,245.0,315.0,192.0,666.0,10.5,162.0,619.0,122.0
P62838,51.6,11.7,,,86.3,18.1,9.44,50.5,,61.5,19.4,55.8
P62843,1398.0,92.7,285.0,182.0,120.0,356.0,601.0,347.0,23.4,1098.0,499.0,2012.0
P62849,856.0,99.8,460.0,39.2,82.9,137.0,603.0,233.0,63.0,1272.0,485.0,1148.0
P62852,509.0,292.0,359.0,110.0,170.0,148.0,650.0,452.0,204.0,1059.0,311.0,815.0
P62855,236.0,64.4,553.0,21.3,192.0,72.1,177.0,118.0,25.6,585.0,192.0,383.0
P62858,281.0,57.5,338.0,190.0,255.0,59.4,262.0,126.0,97.1,386.0,135.0,805.0
P62869,918.0,84.8,403.0,586.0,278.0,173.0,54.7,301.0,53.1,425.0,77.1,253.0
P62874,1023.0,171.0,1661.0,2962.0,252.0,297.0,76.4,753.0,19.6,81.1,383.0,247.0
P62876,,0.311,77.1,,0.042,,0.107,21.6,0.049,0.072,0.144,8.29
P62878,4.59,1.41,275.0,68.1,0.901,,0.258,14.7,2.12,1.73,,308.0
P62880,722.0,109.0,668.0,376.0,221.0,,159.0,521.0,23.9,103.0,281.0,240.0
P62881,213.0,0.875,145.0,41.5,,,,,0.024,,,9.96
P62889,344.0,86.0,626.0,87.0,319.0,103.0,436.0,199.0,46.7,737.0,149.0,608.0
P62892,8977.0,,425.0,,54.3,,4.19,,,,,2105.0
P62897,672.0,1180.0,925.0,425.0,2814.0,604.0,411.0,208.0,1814.0,406.0,98.6,556.0
P62900,372.0,138.0,985.0,144.0,87.4,198.0,507.0,153.0,111.0,1304.0,231.0,785.0
P62908,1273.0,854.0,422.0,116.0,619.0,1148.0,1368.0,1426.0,119.0,4070.0,1610.0,1210.0
P62911,438.0,30.3,484.0,30.0,162.0,62.6,433.0,115.0,71.0,640.0,712.0,606.0
P62915,9.24,,47.9,,0.141,1.03,0.475,8.42,0.026,2.64,37.7,29.5
P62918,525.0,171.0,435.0,21.2,233.0,831.0,963.0,242.0,77.6,3699.0,701.0,591.0
P62932,,,,,23.5,,,,15.3,,,0.388
P62951,,,,,,,,,,,,0.0002
P62956,0.071,,31.5,,,,,,,,,0.961
P62960,270.0,188.0,228.0,46.0,109.0,173.0,122.0,167.0,80.3,422.0,480.0,973.0
P62962,941.0,495.0,1141.0,1592.0,751.0,,785.0,1891.0,149.0,851.0,3046.0,4221.0
P62965,131.0,,101.0,1.45,0.059,,,2.02,,,,12.5
P62983,413.0,192.0,491.0,3714.0,846.0,48.0,457.0,1390.0,2696.0,805.0,466.0,1310.0
P62984,434.0,77.0,,,344.0,64.6,129.0,119.0,0.146,171.0,94.4,1608.0
P62996,234.0,,92.2,,23.7,792.0,147.0,30.0,1.52,6.48,14.9,229.0
P63001,316.0,52.0,491.0,159.0,331.0,119.0,155.0,342.0,69.2,75.9,215.0,217.0
P63002,1.01,0.05,54.9,4.93,0.137,,0.09,,0.062,,,1.86
P63005,227.0,29.3,416.0,187.0,179.0,277.0,7.99,295.0,47.7,71.3,320.0,70.5
P63006,,,11.7,,,,,,,,,0.036
P63011,320.0,8.69,762.0,624.0,66.8,7.74,5.01,16.6,3.71,70.9,1.71,94.3
P63013,,,2.89,,,,,,0.311,,,3.64
P63015,,,28.9,,,,,,,,,1.26
P63017,12056.0,3292.0,2764.0,13995.0,4267.0,36553.0,6521.0,4272.0,2381.0,1831.0,5362.0,4212.0
P63024,91.0,19.5,114.0,15.4,151.0,,10.3,84.6,39.8,29.8,13.7,81.3
P63028,1543.0,1010.0,727.0,1480.0,505.0,848.0,1501.0,1703.0,181.0,6655.0,5222.0,946.0
P63030,55.9,1748.0,197.0,,440.0,491.0,435.0,103.0,48.0,,,58.8
P63032,,,2.56,,,,,,,,,0.005
P63034,4.49,,56.8,,0.934,,,,0.115,,0.128,1.75
P63037,185.0,49.2,294.0,159.0,19.5,178.0,275.0,103.0,4.64,124.0,280.0,254.0
P63038,4238.0,8381.0,1673.0,4259.0,6184.0,9796.0,6042.0,1660.0,932.0,2552.0,3138.0,3793.0
P63040,431.0,1.43,821.0,3786.0,1.68,,0.089,0.8,0.897,2.94,0.673,80.0
P63042,15.8,,25.3,,,,,,,,,3.49
P63044,196.0,23.8,771.0,10935.0,65.9,8.83,17.1,28.7,0.263,28.7,10.9,105.0
P63046,115.0,,168.0,2.35,,,,,,,,2.43
P63054,195.0,,1849.0,172.0,0.078,,,0.082,,,,137.0
P63056,0.196,,30.3,0.686,,,,,,,,0.183
P63058,0.033,,12.1,,,,,8.94,2.36,,,0.045
P63072,,,,,,,,,,,,0.045
P63073,171.0,36.9,262.0,68.6,45.7,42.2,42.4,87.7,19.3,108.0,129.0,107.0
P63075,,,,,0.424,,,,,,,0.0006
P63078,1.05,,11.1,,,,,,,,,0.018
P63080,3.17,,60.4,,,,,,,,,4.23
P63082,190.0,1.67,615.0,11.0,0.693,66.2,7.9,10.3,1.03,0.351,7.12,111.0
P63084,,0.211,0.174,2.81,1.36,,0.053,0.573,0.819,0.227,0.924,4.51
P63085,486.0,95.5,479.0,176.0,79.3,39.6,74.5,385.0,34.3,252.0,491.0,69.4
P63087,196.0,57.0,143.0,112.0,188.0,62.5,29.9,154.0,7.17,49.7,157.0,157.0
P63089,7.23,,207.0,,,,,,,,,6.91
P63101,3724.0,515.0,1849.0,22119.0,619.0,139.0,436.0,1748.0,134.0,729.0,1751.0,1934.0
P63115,0.24,,21.9,,,,,,,,,0.764
P63137,5.07,0.229,144.0,1.79,,,,,,,,4.8
P63139,,0.198,81.6,2.28,0.193,,0.038,1.66,,,,4.05
P63141,3.62,,43.7,2.3,,,,,,,,8.28
P63143,3.73,0.045,20.5,23.5,0.094,,0.004,0.978,0.358,0.039,5.81,2.21
P63147,5.82,,68.9,,8.11,3.27,,8.41,0.289,9.75,,2.4
P63154,7.97,,27.8,,,0.206,,5.71,0.463,0.537,27.1,7.61
P63157,,,,,,,,,,,,0.032
P63158,1215.0,491.0,952.0,847.0,499.0,4235.0,681.0,1495.0,155.0,474.0,1431.0,1068.0
P63163,31.4,0.352,0.577,0.331,2.48,5.27,15.4,1.84,1.66,5.25,21.3,50.9
P63166,12.3,1.59,83.8,48.6,1.49,1.63,0.575,22.7,2.37,1.52,21.1,353.0
P63168,335.0,9.33,263.0,,116.0,79.2,94.8,270.0,0.023,38.3,77.6,697.0
P63213,217.0,0.175,758.0,143.0,22.4,7.51,1.47,80.5,0.148,,2.65,84.2
P63216,312.0,,646.0,,,,,,,,,28.0
P63239,0.045,,15.8,3.64,,,,,,1.05,,0.423
P63242,1765.0,398.0,743.0,482.0,673.0,1662.0,842.0,752.0,314.0,3624.0,1671.0,4718.0
P63248,10.7,,239.0,29.4,46.7,,,,1.47,0.225,,9.6
P63250,0.261,,14.4,,,,,,,,,0.181
P63254,7.5,110.0,44.1,24.1,187.0,178.0,41.2,282.0,28.5,35.2,131.0,172.0
P63260,3334.0,262.0,3521.0,6841.0,2542.0,446.0,486.0,879.0,284.0,586.0,2468.0,6487.0
P63268,683.0,79.3,,,514.0,100.0,98.5,146.0,,82.4,435.0,757.0
P63271,1.81,,43.3,,4.71,6.22,2.17,1.45,,3.13,4.35,6.88
P63276,875.0,272.0,318.0,368.0,232.0,218.0,1072.0,429.0,149.0,1293.0,881.0,2140.0
P63277,,,,,,,,,,,,27.0
P63280,204.0,37.1,282.0,47.7,22.8,59.4,141.0,330.0,5.47,68.8,1257.0,491.0
P63300,11.9,,13.4,,,,,,0.222,,,2.75
P63318,390.0,,214.0,24.6,0.114,,,0.409,,,2.45,18.1
P63321,103.0,63.6,576.0,89.3,98.1,109.0,60.3,230.0,18.9,16.0,27.7,48.6
P63323,144.0,40.7,632.0,136.0,210.0,29.7,186.0,177.0,302.0,418.0,96.2,304.0
P63325,448.0,152.0,318.0,25.4,161.0,154.0,334.0,169.0,59.7,782.0,749.0,578.0
P63328,487.0,3.02,744.0,763.0,36.4,1.5,1.92,45.8,57.5,2.09,20.1,60.5
P63330,624.0,52.8,54.7,1.48,190.0,40.5,59.2,127.0,41.1,12.5,105.0,52.9
P67871,105.0,9.51,560.0,23.5,52.0,,39.2,36.7,22.4,18.8,39.6,244.0
P67984,609.0,213.0,632.0,40.9,129.0,119.0,343.0,326.0,228.0,787.0,300.0,930.0
P68033,792.0,96.3,403.0,1768.0,5050.0,,171.0,585.0,443.0,190.0,529.0,745.0
P68037,433.0,185.0,421.0,417.0,355.0,356.0,243.0,312.0,107.0,360.0,533.0,726.0
P68040,834.0,641.0,573.0,198.0,221.0,317.0,1086.0,648.0,92.3,2977.0,2009.0,893.0
P68134,712.0,211.0,12.6,27.2,4463.0,117.0,111.0,286.0,58850.0,96.2,539.0,743.0
P68181,83.5,54.3,197.0,0.678,73.2,16.3,10.6,23.5,5.1,26.3,55.7,28.0
P68254,1790.0,365.0,861.0,1398.0,273.0,339.0,244.0,807.0,57.9,528.0,838.0,406.0
P68368,12358.0,246.0,421.0,934.0,1277.0,3364.0,417.0,606.0,148.0,447.0,816.0,2719.0
P68369,4213.0,399.0,3181.0,18812.0,637.0,400.0,290.0,985.0,509.0,467.0,1580.0,561.0
P68372,6216.0,483.0,4670.0,13598.0,1593.0,6867.0,618.0,1467.0,769.0,468.0,992.0,8616.0
P68373,3442.0,324.0,,,380.0,338.0,274.0,659.0,0.209,692.0,1301.0,504.0
P68404,249.0,0.644,155.0,33.0,0.175,0.432,0.261,17.0,18.6,0.28,197.0,11.5
P68433,961.0,,186.0,,248.0,237.0,230.0,3.13,1.35,0.094,3.41,1035.0
P68500,0.009,,7.47,,,,0.732,,,,,0.014
P68510,1155.0,127.0,1322.0,2677.0,358.0,,133.0,470.0,32.8,175.0,497.0,231.0
P69525,,,,,,,,,,,,0.003
P69566,2.64,0.966,56.6,7.02,3.49,,0.148,0.993,0.747,,2.8,18.5
P69744,,,,,,,,,,,,0.012
P70120,,,,,,,,,,,,0.051
P70121,,,7.89,,,,,0.433,0.037,,,0.722
P70122,65.0,10.7,121.0,4.43,31.3,,71.2,145.0,8.77,90.9,193.0,63.4
P70124,0.048,0.044,0.301,0.212,0.081,,0.682,0.165,0.545,,,6.52
P70126,,,7.16,,,,,,,,,0.018
P70158,0.198,10.7,53.1,1.72,11.2,218.0,9.94,19.9,1.46,18.1,10.6,5.46
P70160,,,39.7,,,,,,,,,0.094
P70166,0.005,,,,,,,,,,,0.025
P70168,436.0,410.0,433.0,50.0,199.0,178.0,241.0,515.0,84.0,295.0,836.0,261.0
P70169,0.065,0.014,32.0,148.0,0.046,,0.0005,,0.133,,,0.715
P70170,0.003,0.514,3.84,,25.1,,0.96,,23.5,,0.121,0.026
P70172,,,,,,12.1,,,,,,0.031
P70174,0.01,,20.1,,,,,,,,,0.065
P70175,49.1,0.078,94.4,57.5,0.529,0.187,0.074,5.79,0.176,0.023,,28.9
P70178,,,,,,,,,,,,0.05
P70180,,,,,3.26,,,2.92,0.086,,,0.149
P70181,0.345,,9.05,,,,,,9.45,,,0.394
P70182,1.31,0.252,28.2,58.4,0.723,,0.041,3.75,2.68,0.017,0.779,1.74
P70186,,,,,0.214,,,,,,,1.72
P70187,,,16.8,,,,,,,6.21,,0.282
P70188,1.95,0.293,28.7,0.768,0.506,,,3.38,0.329,3.34,0.797,0.867
P70190,0.033,,,,,,,,,,,0.016
P70191,,,,,,,,,,,,0.053
P70193,0.154,,19.8,,0.055,,,,1.34,,,0.553
P70194,0.018,,,,,,82.6,,,,,4.06
P70195,281.0,74.8,424.0,50.4,88.8,256.0,278.0,360.0,14.7,275.0,375.0,500.0
P70196,0.022,,14.5,,,,,,0.621,,,0.078
P70202,40.9,8.65,644.0,239.0,15.6,1.89,0.076,72.8,2.69,85.4,18.1,38.2
P70205,0.018,,152.0,,,,,,,,,0.129
P70206,107.0,9.57,81.1,0.492,0.887,8.07,0.081,122.0,4.82,0.394,5.33,2.43
P70207,33.1,,15.3,3.32,0.184,,0.778,3.35,0.256,0.436,,0.547
P70208,4.64,1.73,22.0,10.2,0.546,,0.2,24.9,1.45,0.391,1.13,0.388
P70210,,,,,,,,,,,,0.433
P70211,1.22,,22.1,,0.046,,,,,,,0.071
P70213,0.038,,12.0,,3.7,,,,0.395,,,1.59
P70217,,,,,,,,,,,,0.004
P70218,0.975,,,,,,,,,,57.7,4.31
P70224,,,,,,,,2.98,,,59.3,0.127
P70227,7.36,19.0,7.97,,0.848,1.53,2.23,10.2,1.08,59.1,173.0,4.47
P70232,192.0,,7.91,0.139,,,,,,,,2.62
P70236,22.7,0.651,96.3,1.57,11.2,,0.311,5.44,40.9,0.101,24.4,25.9
P70245,8.03,,260.0,,1.24,5.19,78.9,4.48,0.888,3.29,2.46,28.6
P70248,3.43,,2.18,,1.63,0.277,1.23,7.28,,0.674,81.3,3.74
P70255,0.596,,1.86,,12.4,,0.014,13.4,2.6,0.55,0.199,7.33
P70257,1.76,,,,7.77,,,5.77,,,,8.08
P70259,,,,,,,,,,,,0.018
P70261,0.734,200.0,22.5,,7.72,0.495,1.03,136.0,0.648,,2.63,8.56
P70265,0.023,,23.6,,26.1,,0.281,1.76,0.143,,0.146,0.817
P70266,,4.19,13.4,,19.8,,34.0,,13.8,,2.22,0.616
P70268,3.39,35.3,23.2,0.092,15.3,6.11,3.13,157.0,0.611,22.0,74.1,10.1
P70269,,,,,,,,,,,70.0,9.36
P70270,,,,,0.078,,,,,,,0.257
P70271,0.793,,34.3,2.2,21.4,,0.032,2.11,0.609,0.364,1.13,6.68
P70274,20.9,,6.04,,6.72,0.116,0.325,0.817,0.906,0.131,0.552,220.0
P70275,,,3.04,,,,,8.1,,,,0.701
P70277,,,,,,,,0.068,,0.087,,
P70278,5.65,,,,,,9.5,,,,,1.84
P70279,63.9,,46.6,,,,,2.87,5.4,,,72.5
P70280,4.74,,50.8,,,2.43,12.6,17.2,1.92,0.497,6.79,8.58
P70281,,,,,,,,,,,,0.095
P70284,,,,,,,,,,,,0.495
P70288,41.6,3.71,199.0,2.94,6.64,1.5,4.77,14.9,3.17,0.117,17.1,61.1
P70290,38.7,84.2,119.0,52.3,57.5,1168.0,7.18,103.0,3.41,0.639,357.0,24.1
P70295,5.47,,13.9,,5.89,4.23,9.85,3.56,7.19,25.0,48.3,7.26
P70296,1797.0,551.0,1463.0,4381.0,906.0,851.0,1134.0,677.0,554.0,559.0,697.0,3357.0
P70297,34.0,3.85,149.0,133.0,12.6,0.311,3.58,50.1,1.52,7.64,20.1,27.2
P70298,,,,,,,,,,,,0.952
P70302,5.38,60.4,93.4,11.6,2.68,1.12,21.3,47.8,67.2,14.9,57.9,6.98
P70303,6.74,0.927,41.0,0.561,4.8,11.7,2.04,28.4,0.534,13.5,49.6,8.93
P70310,,,11.0,,,,,,,,,0.016
P70312,,,,,,,,,,,,0.002
P70313,0.34,36.7,9.09,,9.03,,,2.93,0.257,,,0.171
P70314,,,,,,,,,0.014,,,0.026
P70315,4.19,,2.52,,,,,,,,64.6,4.99
P70318,28.5,1.23,95.2,19.6,8.63,2.22,6.36,14.7,,1.08,47.1,19.3
P70321,,,,,,,,,,,,0.004
P70323,,,,,,,,,,,,0.015
P70324,0.036,,,,,,,,,,,0.448
P70325,,,,,,,,,,,,0.031
P70326,0.017,,,,,,,0.385,,,,0.071
P70327,,,,,,,,,,,,0.176
P70333,653.0,12.9,201.0,50.5,41.5,,40.0,82.3,4.01,51.5,171.0,216.0
P70335,6.35,82.5,16.3,9.16,55.0,219.0,18.5,458.0,132.0,140.0,364.0,2.31
P70336,251.0,103.0,92.3,19.0,145.0,298.0,4.81,657.0,7.35,175.0,362.0,18.2
P70338,,,,,,,,,,,,0.031
P70340,0.216,,26.2,0.93,,0.045,0.028,0.055,0.447,0.009,,1.26
P70343,,,,,,,,,,,,0.005
P70345,1.77,,,,,3.18,0.177,2.39,,0.519,,0.183
P70347,,,7.89,,,,,,,,,2.23
P70348,,,,,,,,,,,,0.032
P70349,1269.0,380.0,405.0,1240.0,769.0,3265.0,905.0,402.0,230.0,1021.0,432.0,808.0
P70351,0.287,0.139,6.52,,,,,1.47,0.494,,,0.938
P70352,,,,,,,,,,,,8e-05
P70353,,0.548,69.3,7.68,0.389,,0.114,9.68,0.316,0.734,12.0,6.95
P70362,26.3,11.8,104.0,19.3,21.8,5.59,18.7,45.7,8.05,3.96,50.3,14.8
P70365,0.18,0.116,18.7,,0.055,,,,0.209,,,0.376
P70371,,,1.95,,,,,,,,,3.44
P70372,623.0,19.4,416.0,106.0,106.0,,192.0,134.0,17.4,41.4,154.0,277.0
P70375,,,,,0.128,,,,,,,3.75
P70377,0.04,,,,0.429,,,,,,,0.984
P70378,,,6.65,,,,,,,,,0.247
P70379,1.48,,2.14,,,,,,,,,0.882
P70380,7.15,,25.4,,,,,,,,45.1,0.653
P70385,,,,,,,,,,,,0.004
P70387,,,,,,,,,,,0.224,0.129
P70388,4.88,5.72,17.9,,0.877,18.5,0.182,3.17,2.52,16.9,174.0,13.0
P70389,2.34,0.491,11.5,,2.42,0.509,0.6,6.32,0.852,,0.304,45.8
P70390,,,,,,,,,,,,7.21
P70392,19.5,,21.0,0.089,0.187,,,10.1,,,,0.624
P70396,,,,,,,,,,,,1.13
P70397,,,,,,,,,,,,3.0
P70398,375.0,523.0,146.0,7.35,145.0,406.0,261.0,639.0,28.3,969.0,697.0,19.7
P70399,80.9,0.109,66.8,,0.626,,0.092,3.83,0.462,5.61,11.0,31.4
P70402,,,,,,,,,622.0,,,0.126
P70404,474.0,2467.0,644.0,622.0,1283.0,317.0,111.0,147.0,391.0,150.0,223.0,192.0
P70406,,1.14,,,0.043,,,,,,0.247,0.182
P70407,,,4.58,,,,,,,,,0.03
P70408,,,42.7,0.073,,,,,,,,0.485
P70412,,,,0.145,,,,,,397.0,,0.515
P70414,7.82,,3.48,,174.0,23.5,,1.22,,,1.15,7.21
P70419,7.08,,,,0.043,8.76,,0.257,,2.62,0.205,0.3
P70423,,,11.4,,,,,,,,,0.24
P70424,0.043,,2.57,,0.036,,11.6,1.08,0.307,0.393,,0.776
P70425,1.6,,50.2,,0.931,,2.19,,,,,0.016
P70426,0.228,,9.48,,4.17,1.98,,2.3,,,,0.383
P70428,0.813,,15.4,,1.24,,,,0.176,2.45,,5.21
P70429,3.64,0.049,105.0,37.2,0.931,,0.036,18.4,,,131.0,6.25
P70434,1.14,1.15,,,0.127,0.244,0.102,0.838,,0.298,0.391,0.034
P70436,,,,,,,,,,,,0.004
P70441,111.0,6.02,143.0,798.0,12.3,1366.0,90.3,105.0,28.1,37.7,253.0,46.9
P70444,18.1,,44.5,,,158.0,8.12,1.03,,,143.0,81.0
P70445,15.1,0.276,199.0,38.7,0.213,0.836,1.23,16.6,1.61,10.1,0.568,102.0
P70451,0.021,0.089,22.8,,0.621,,,3.02,0.494,0.032,0.352,0.683
P70452,8.22,9.06,41.5,,26.1,28.9,50.7,31.6,3.68,2.57,2.14,14.4
P70453,,,6.65,,,,,,0.021,,,0.003
P70458,,,,,,,,,,,,0.013
P70459,1.1,,8.61,,,,,,0.003,,,12.9
P70460,35.9,19.5,80.5,8.47,30.3,46.9,1.88,211.0,2.09,16.6,683.0,76.8
P70658,,,,,,,,3.63,,,,0.225
P70661,,,,,,,,,,,,0.063
P70662,0.313,,31.5,,,,,,0.04,,,2.57
P70663,61.7,3.94,189.0,29.2,7.67,,0.015,27.5,3.81,,,53.2
P70665,0.191,0.269,21.0,,0.177,,14.6,0.166,1.09,,2.95,2.05
P70669,,,1.69,,,,,7.23,,,,0.063
P70670,14.6,208.0,556.0,282.0,1304.0,4.05,37.6,98.0,664.0,158.0,121.0,33.8
P70671,3.1,3.74,35.6,10.3,7.17,39.6,2.14,36.0,6.87,24.0,62.3,4.86
P70675,,,,,,,,,,,,35.6
P70677,238.0,5.53,173.0,3.35,2.99,9.44,19.1,47.7,10.6,0.07,375.0,63.7
P70689,0.283,,5.0,,,,,,,,,0.278
P70691,3.83,0.025,,,0.214,26.4,20.4,0.033,,,,16.1
P70694,,0.944,0.963,2.99,3.89,,2950.0,13.6,0.366,2.52,0.189,176.0
P70695,,58.1,1.37,4.36,43.7,100.0,0.151,7.62,109.0,4.38,0.901,4.52
P70696,77.8,0.424,0.025,,0.704,0.336,7.17,0.24,,,6.39,197.0
P70697,12.4,73.5,148.0,1.55,18.0,15.7,118.0,66.2,2.18,41.0,451.0,9.47
P70698,57.1,2.71,136.0,4.54,37.4,48.6,4.01,82.3,5.26,32.0,141.0,77.0
P70699,46.8,0.639,132.0,7.97,6.55,9.61,29.3,0.619,4.79,0.479,13.7,56.8
P70700,7.35,,2.19,,,,,,0.35,,1.99,6.89
P70701,0.02,,,,,,,,,,,0.067
P70704,12.3,0.131,108.0,0.748,14.6,0.053,0.09,47.6,8.34,,4.22,4.85
P79457,,,,,0.096,,,,,,,0.073
P79621,,,,,,,,,,,,0.049
P80205,,,,,,,,,,,,0.09
P80206,0.207,,,,,,,,,,,1.06
P80313,556.0,158.0,399.0,110.0,163.0,79.2,449.0,473.0,78.2,322.0,1175.0,351.0
P80314,886.0,314.0,569.0,486.0,287.0,59.4,576.0,535.0,173.0,580.0,1386.0,382.0
P80315,304.0,326.0,441.0,133.0,170.0,355.0,430.0,427.0,80.1,356.0,979.0,477.0
P80316,952.0,360.0,586.0,376.0,256.0,218.0,386.0,571.0,74.4,252.0,1360.0,383.0
P80317,207.0,156.0,728.0,444.0,139.0,109.0,257.0,390.0,48.7,170.0,987.0,441.0
P80318,446.0,359.0,503.0,136.0,315.0,472.0,721.0,476.0,61.4,255.0,1291.0,233.0
P80560,1.82,,49.9,15.0,,,,,0.122,49.3,1.7,0.615
P81066,,,,,,,,,,,,0.072
P81067,,,,,,,,,,,,0.052
P81068,,,,,,,,,,,,0.062
P81069,0.118,,3.19,,,,,,,,4.93,1.35
P81117,4.73,2.04,35.6,27.6,6.2,0.181,0.351,81.0,1.77,491.0,74.2,24.7
P81122,0.779,,11.3,,0.1,,,,,,,1.76
P81183,0.054,,,,,,,,,,,0.061
P81269,232.0,0.276,3.35,1.88,0.096,,0.05,1.78,5.79,0.4,2.65,159.0
P81270,,0.201,7.16,,0.572,,0.008,5.09,,,,0.862
P81615,,,,,,,,,,,,0.041
P82198,4.72,4.56,6.32,0.641,36.6,0.169,4.19,64.0,33.9,2.82,5.52,7.34
P82343,36.3,,9.51,0.142,0.862,31.4,0.044,14.2,0.41,,27.4,56.8
P82347,0.019,5.1,26.6,,123.0,,0.008,17.1,49.5,,0.968,1.76
P82348,,,,,91.7,,,,21.2,,,0.164
P82349,,1.26,6.54,,104.0,,,6.9,30.8,,,4.03
P82350,,,,,121.0,,,,41.3,,,0.367
P82976,,,,,,,,,,,,0.074
P83093,0.962,0.042,16.5,0.964,0.186,,0.036,3.22,1.46,1.81,0.669,2.62
P83503,,,,,,,,,,,,0.035
P83510,5.18,0.42,14.3,3.9,0.384,,0.05,2.84,1.52,0.134,0.939,5.05
P83555,,,,,,,,,,,,0.039
P83626,0.041,,,,,,,,,,,0.432
P83714,,,,,,,,,,,,0.003
P83741,28.6,17.5,44.3,2.32,11.8,0.525,2.42,188.0,10.5,14.6,19.7,18.6
P83870,84.8,6.67,179.0,,7.53,18.1,12.4,10.5,0.501,17.6,1.87,83.4
P83877,0.461,0.403,28.8,6.24,0.741,,0.146,6.91,5.54,0.644,2.01,59.0
P83882,140.0,56.1,302.0,,43.7,35.8,630.0,21.6,6.23,209.0,322.0,284.0
P83887,8.79,0.956,87.2,0.693,3.16,,0.201,6.1,0.346,0.499,36.3,20.7
P83917,292.0,30.8,226.0,35.3,24.5,336.0,98.1,123.0,2.6,11.3,50.0,144.0
P83940,162.0,56.0,401.0,286.0,127.0,46.7,48.7,80.2,37.7,99.0,91.0,110.0
P84075,169.0,4.7,237.0,449.0,6.27,11.8,7.99,48.6,0.566,18.2,29.6,35.5
P84078,2080.0,125.0,933.0,36.2,339.0,1544.0,212.0,215.0,76.2,264.0,235.0,207.0
P84084,387.0,104.0,166.0,17.3,210.0,161.0,148.0,305.0,5.75,278.0,292.0,335.0
P84086,911.0,0.395,407.0,3301.0,0.183,,0.019,12.4,1.78,0.561,0.22,73.6
P84089,394.0,2.75,461.0,74.1,22.6,,274.0,210.0,49.0,6.32,40.4,830.0
P84091,444.0,32.5,380.0,154.0,84.8,59.4,112.0,171.0,23.0,21.8,134.0,123.0
